Feature,Importance
AGE,0.2903674405498589
INCOME,0.17241572928264978
BREAKFAST,0.11765757722901887
BMI,0.08781608008529562
SEX_2.0,0.08655403863182165
SEX_1.0,0.07852021869158575
BMI_CAT_4,0.03483761761212261
REGION,0.028678455438332494
OBESITY_3.0,0.025825659748388023
OBESITY_4.0,0.021377349412037526
OBESITY_5.0,0.015810611767662127
OBESITY_2.0,0.013030840848075681
BMI_CAT_3,0.010464644325588348
BMI_CAT_2,0.0073753092663446035
OBESITY_6.0,0.005193380015132971
BMI_CAT_1,0.0022699466174958675
OBESITY_1.0,0.0018051004785892787
