Feature,Importance
AGE,0.36873059098210076
BMI,0.2664327865413176
REGION,0.0975788196104514
INCOME,0.0859858284213045
BREAKFAST,0.06170163128953487
BMI_CAT_4,0.028400926992856318
SEX_2.0,0.01762133717480969
SEX_1.0,0.017473524574177543
OBESITY_5.0,0.009931565219361817
OBESITY_2.0,0.008773096082193085
OBESITY_3.0,0.00862693539525005
BMI_CAT_2,0.007900912085017506
OBESITY_4.0,0.007505048599956572
OBESITY_6.0,0.00544672181165464
BMI_CAT_3,0.004084329530148015
BMI_CAT_1,0.002058791870006347
OBESITY_1.0,0.0017471538198593635
